neighbourhood_group_n,neighbourhood_n,room_type_n,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,12,1,3,11,1,1
1,30,0,2,2,1,0
0,6,0,2,0,2,0
0,6,1,3,87,1,267
2,31,0,5,13,1,0
1,7,1,30,3,31,270
1,28,1,7,1,1,43
1,11,1,1,42,1,4
0,20,0,1,0,1,0
0,15,0,1,0,1,0
1,19,1,30,6,9,150
1,71,1,30,0,65,338
0,21,0,1,0,5,329
1,19,0,1,4,1,0
0,38,1,30,1,2,63
2,81,0,1,0,2,170
0,21,1,3,3,1,0
0,13,1,3,95,2,112
1,2,0,1,0,5,281
0,73,0,2,7,1,124
1,2,0,30,0,7,364
2,37,1,2,1,1,0
0,12,1,14,4,1,0
0,6,1,2,51,1,89
1,30,0,4,14,3,0
2,83,0,2,5,1,57
0,13,1,2,1,1,0
0,13,1,2,15,1,41
0,24,0,10,1,1,0
0,20,1,30,7,52,327
1,19,1,2,16,1,52
2,46,0,1,0,1,180
1,5,0,15,0,1,0
0,3,1,2,58,6,199
1,30,1,1,1,5,364
0,21,0,2,3,1,0
0,12,1,30,5,8,161
1,30,1,7,0,1,67
0,22,0,3,3,1,0
0,12,1,2,4,1,0
1,23,0,14,0,1,0
1,19,0,3,0,1,0
1,11,0,3,16,1,0
0,6,0,2,27,1,339
2,49,1,3,38,1,243
4,114,1,4,9,3,124
1,28,0,5,7,1,341
0,20,1,3,3,1,42
1,26,1,30,0,232,312
0,100,0,1,5,2,0
0,21,0,1,26,3,0
0,24,0,31,3,2,242
0,54,1,1,127,1,7
2,124,0,1,5,3,365
1,2,0,7,15,1,213
2,56,0,4,28,1,0
0,6,0,4,0,1,0
1,68,1,3,3,1,0
1,2,0,15,19,3,106
2,49,1,5,2,1,0
0,12,1,3,12,1,0
1,19,0,1,0,2,0
0,3,1,3,0,1,0
1,1,1,2,4,1,129
1,71,0,1,0,7,230
1,28,1,1,0,1,15
1,2,1,1,0,1,32
4,98,1,3,19,1,228
2,183,1,1,30,1,282
0,21,0,7,1,1,173
1,19,0,14,0,1,0
1,23,1,1,2,1,0
2,31,0,5,9,2,0
0,21,0,4,5,4,98
1,19,1,30,5,1,301
1,19,1,5,3,1,0
4,99,0,2,47,4,249
0,6,0,1,0,1,179
0,54,1,2,19,4,328
1,8,1,2,9,1,286
0,20,0,1,0,1,0
1,5,1,6,2,1,341
0,13,1,4,45,1,190
0,35,1,2,64,1,194
0,84,0,2,5,3,365
0,6,1,5,47,2,91
0,12,0,3,2,1,36
2,25,1,15,1,1,0
1,8,1,5,3,1,9
1,68,1,3,52,1,3
1,1,0,3,98,1,278
0,6,1,1,3,1,0
1,8,1,2,0,1,5
0,21,0,7,4,1,95
4,144,0,1,0,1,363
1,23,0,2,6,4,0
1,2,0,1,52,4,355
0,3,0,1,15,1,179
0,17,0,2,26,1,74
1,77,1,4,3,1,0
2,25,1,30,1,1,0
1,8,0,14,88,1,176
1,1,1,2,4,1,0
1,19,1,3,0,1,0
2,63,0,1,34,1,93
1,18,1,1,17,1,64
1,28,1,1,25,11,330
0,20,0,1,2,1,0
4,150,1,2,41,2,342
2,37,0,1,14,6,121
0,75,1,1,1,1,0
0,21,0,5,0,3,0
1,4,0,1,186,4,199
0,12,0,5,0,1,0
0,117,0,1,10,1,0
1,19,0,1,0,1,0
1,45,1,4,4,1,0
1,19,0,1,3,1,365
1,2,1,1,2,3,0
0,12,1,3,32,2,141
1,5,1,3,0,1,0
0,29,1,4,2,1,0
2,49,0,2,80,1,350
0,6,1,30,0,2,45
0,12,1,2,17,1,3
